"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
105,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,104,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386972574,7173412982679,7173413007419,7173413022033,24740
106,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,105,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386974204,7173413007419,7173413032011,7173413047481,24592
107,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,106,150034,150034,28416,256,22528,1104,128,0,64,64,"0x0","0x78a506387e00",7173386977077,7173413254967,7173413982945,7173414015149,727978
108,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,107,150034,150034,6144,256,512,0,20,0,32,64,"0x0","0x78a506387cc0",7173386979121,7173413982945,7173414008130,7173414017833,25185
109,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,108,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386981046,7173414008130,7173414035536,7173414053739,27406
110,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,109,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386983101,7173414035536,7173414062795,7173414077740,27259
111,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,110,150034,150034,21504,384,32768,1432,128,0,48,64,"0x0","0x78a506387e80",7173386985606,7173414310787,7173414915954,7173414946126,605167
112,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,111,150034,150034,6144,256,512,0,20,0,32,64,"0x0","0x78a506387cc0",7173386987674,7173415003359,7173415035062,7173415045761,31703
113,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,112,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386989786,7173415035062,7173415063061,7173415073665,27999
114,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,113,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386991563,7173415063061,7173415090319,7173415100114,27258
115,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,114,150034,150034,28416,256,22528,1104,128,0,64,64,"0x0","0x78a506387e00",7173386993920,7173415338312,7173416120658,7173416149684,782346
116,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,115,150034,150034,6144,256,512,0,20,0,32,64,"0x0","0x78a506387cc0",7173386995970,7173416120658,7173416143621,7173416152236,22963
117,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,116,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386998078,7173416143621,7173416168509,7173416178902,24888
118,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,117,150034,150034,229376,32,0,0,12,0,16,64,"0x0","0x78a5c96d2b80",7173386999769,7173416168509,7173416193101,7173416203239,24592
