"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
489,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,488,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074084238,7172195014620,7172195039657,7172195044968,25037
490,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,489,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074085761,7172195039657,7172195064101,7172195069783,24444
491,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,490,149894,149894,28416,256,22528,1104,128,0,64,64,"0x0","0x77a4ba787e00",7172074087924,7172195287063,7172196010466,7172196030010,723403
492,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,491,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172074089669,7172196010466,7172196033281,7172196042069,22815
493,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,492,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074091374,7172196033281,7172196058022,7172196064117,24741
494,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,493,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074092968,7172196058022,7172196082762,7172196087834,24740
495,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,494,149894,149894,21504,384,32768,1432,128,0,48,64,"0x0","0x77a4ba787e80",7172074095131,7172196306020,7172196856684,7172196875267,550664
496,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,495,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172074096810,7172196931646,7172196961127,7172196966283,29481
497,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,496,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074098579,7172196961127,7172196986312,7172196991580,25185
498,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,497,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074100068,7172196986312,7172197011053,7172197017122,24741
499,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,498,149894,149894,28416,256,22528,1104,128,0,64,64,"0x0","0x77a4ba787e00",7172074102265,7172197234015,7172197981270,7172198002256,747255
500,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,499,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172074103889,7172197981270,7172198005862,7172198014951,24592
501,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,500,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074105611,7172198005862,7172198033418,7172198039536,27556
502,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,501,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074107097,7172198033418,7172198060380,7172198065901,26962
503,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,502,149894,149894,21504,384,32768,1432,128,0,48,64,"0x0","0x77a4ba787e80",7172074109259,7172198308527,7172198909116,7172198927994,600589
504,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,503,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172074110925,7172198939190,7172198970894,7172198976426,31704
