"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
667,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,666,69986,69986,28416,256,22528,1104,128,0,64,64,"0x0","0x79e0f1d869c0",3895248276546,3895403836356,3895404553538,3895404566126,717182
668,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,667,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895248278434,3895404553538,3895404575908,3895404578836,22370
669,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,668,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895248280325,3895404575908,3895404600648,3895404603503,24740
670,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,669,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895248282045,3895404600648,3895404625241,3895404628064,24593
671,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,670,69986,69986,21504,384,32768,1432,128,0,48,64,"0x0","0x79e0f1d86a40",3895248284457,3895404848351,3895405388793,3895405401478,540442
672,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,671,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895248286183,3895405417830,3895405446422,3895405449238,28592
673,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,672,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895248287920,3895405446422,3895405471459,3895405474682,25037
674,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,673,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895248289467,3895405471459,3895405495904,3895405498678,24445
675,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,674,69986,69986,28416,256,22528,1104,128,0,64,64,"0x0","0x79e0f1d869c0",3895248291731,3895405719014,3895406438418,3895406451456,719404
676,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,675,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895248293631,3895406438418,3895406460936,3895406463960,22518
677,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,676,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895248295480,3895406460936,3895406485973,3895406488819,25037
678,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,677,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895248296971,3895406485973,3895406510418,3895406513256,24445
679,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,678,69986,69986,21504,384,32768,1432,128,0,48,64,"0x0","0x79e0f1d86a40",3895248299238,3895406733824,3895407279303,3895407292443,545479
680,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,679,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895248301013,3895407304044,3895407332044,3895407335033,28000
681,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,680,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895248302673,3895407332044,3895407356932,3895407360305,24888
682,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,681,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895248304177,3895407356932,3895407381229,3895407383944,24297
683,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,682,69986,69986,28416,256,22528,1104,128,0,64,64,"0x0","0x79e0f1d869c0",3895248306377,3895407604042,3895408323002,3895408335420,718960
684,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,683,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895248308318,3895408323002,3895408345965,3895408348902,22963
685,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,684,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895248310225,3895408345965,3895408371002,3895408373769,25037
686,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,685,69986,69986,229376,32,0,0,12,0,16,64,"0x0","0x79e1d89b2b80",3895248311961,3895408371002,3895408395446,3895408398346,24444
687,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,686,69986,69986,21504,384,32768,1432,128,0,48,64,"0x0","0x79e0f1d86a40",3895248314363,3895408643149,3895409242405,3895409254720,599256
688,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,687,69986,69986,6144,256,512,0,20,0,32,64,"0x0","0x79e0f1d86880",3895248316228,3895409275294,3895409306850,3895409309741,31556
