"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
545,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,544,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897828199755,3897958483526,3897958511525,3897958517751,27999
546,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,545,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897828201534,3897958511525,3897958538636,3897958544356,27111
547,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,546,70254,70254,28416,256,22528,1104,128,0,64,64,"0x0","0x79e4fafc69c0",3897828204141,3897958767077,3897959486917,3897959504446,719840
548,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,547,70254,70254,6144,256,512,0,20,0,32,64,"0x0","0x79e4fafc6880",3897828206165,3897959486917,3897959509435,3897959515569,22518
549,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,548,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897828208305,3897959509435,3897959534176,3897959539893,24741
550,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,549,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897828210056,3897959534176,3897959558768,3897959564267,24592
551,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,550,70254,70254,21504,384,32768,1432,128,0,48,64,"0x0","0x79e4fafc6a40",3897828212551,3897959782024,3897960330311,3897960347300,548287
552,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,551,70254,70254,6144,256,512,0,20,0,32,64,"0x0","0x79e4fafc6880",3897828214294,3897960371200,3897960399644,3897960405883,28444
553,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,552,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897828216094,3897960399644,3897960424532,3897960431279,24888
554,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,553,70254,70254,229376,32,0,0,12,0,16,64,"0x0","0x79e5e1e32b80",3897828217773,3897960424532,3897960448976,3897960455635,24444
