"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
563,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,562,70119,70119,28416,256,22528,1104,128,0,64,64,"0x0","0x7c853fac69c0",3896531398219,3896665709498,3896666429785,3896666499459,720287
564,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,563,70119,70119,6144,256,512,0,20,0,32,64,"0x0","0x7c853fac6880",3896531400045,3896666429785,3896666452155,3896666501834,22370
565,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,564,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896531402008,3896666452155,3896666476747,3896666489307,24592
566,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,565,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896531403729,3896666476747,3896666504006,3896666513336,27259
567,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,566,70119,70119,21504,384,32768,1432,128,0,48,64,"0x0","0x7c853fac6a40",3896531406257,3896666752299,3896667351847,3896667409710,599548
568,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,567,70119,70119,6144,256,512,0,20,0,32,64,"0x0","0x7c853fac6880",3896531408005,3896667446957,3896667479401,3896667485121,32444
569,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,568,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896531409916,3896667479401,3896667507253,3896667513305,27852
570,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,569,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896531411510,3896667507253,3896667534512,3896667539744,27259
571,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,570,70119,70119,28416,256,22528,1104,128,0,64,64,"0x0","0x7c853fac69c0",3896531413908,3896667782360,3896668571832,3896668641382,789472
572,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,571,70119,70119,6144,256,512,0,20,0,32,64,"0x0","0x7c853fac6880",3896531415874,3896668571832,3896668593906,3896668643762,22074
573,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,572,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896531417802,3896668593906,3896668618794,3896668631480,24888
574,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,573,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896531419531,3896668618794,3896668643535,3896668655416,24741
575,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,574,70119,70119,21504,384,32768,1432,128,0,48,64,"0x0","0x7c853fac6a40",3896531422145,3896668866939,3896669413303,3896669471969,546364
576,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,575,70119,70119,6144,256,512,0,20,0,32,64,"0x0","0x7c853fac6880",3896531424024,3896669492265,3896669520709,3896669526514,28444
577,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,576,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896531425934,3896669520709,3896669545894,3896669551464,25185
578,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,577,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896531427601,3896669545894,3896669570634,3896669575947,24740
579,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,578,70119,70119,28416,256,22528,1104,128,0,64,64,"0x0","0x7c853fac69c0",3896531429869,3896669793298,3896670510030,3896670528632,716732
580,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,579,70119,70119,6144,256,512,0,20,0,32,64,"0x0","0x7c853fac6880",3896531431654,3896670510030,3896670532252,3896670538274,22222
581,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,580,70119,70119,229376,32,0,0,12,0,16,64,"0x0","0x7c8593dd2b80",3896531433517,3896670532252,3896670557289,3896670563009,25037
