"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
795,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,794,70325,70325,28416,256,22528,1104,128,0,64,64,"0x0","0x70100b2a69c0",3898475060850,3898662087783,3898662801853,3898662810639,714070
796,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,795,70325,70325,6144,256,512,0,20,0,32,64,"0x0","0x70100b2a6880",3898475062653,3898662801853,3898662824075,3898662826898,22222
797,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,796,70325,70325,229376,32,0,0,12,0,16,64,"0x0","0x700f9d5d2b80",3898475064440,3898662824075,3898662848964,3898662851587,24889
798,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,797,70325,70325,229376,32,0,0,12,0,16,64,"0x0","0x700f9d5d2b80",3898475066033,3898662848964,3898662873260,3898662875992,24296
799,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,798,70325,70325,21504,384,32768,1432,128,0,48,64,"0x0","0x70100b2a6a40",3898475068715,3898663096518,3898663648218,3898663656760,551700
800,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,799,70325,70325,6144,256,512,0,20,0,32,64,"0x0","0x70100b2a6880",3898475070604,3898663666292,3898663694292,3898663697123,28000
801,"widelaunch_noop_kernel(int*) [clone .kd]",4,1,801,70325,70325,64,64,0,0,4,0,16,64,"0x0","0x70100b2a6780",3898663857951,3898663892365,3898663895328,3898663898199,2963
802,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,803,70325,70325,229376,32,0,0,12,0,16,64,"0x0","0x700f9d5d2b80",3898663894907,3898663906143,3898663931624,3898663934403,25481
803,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,804,70325,70325,229376,32,0,0,12,0,16,64,"0x0","0x700f9d5d2b80",3898663897025,3898663931624,3898663956068,3898663958774,24444
804,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,805,70325,70325,21504,384,32768,1432,128,0,48,64,"0x0","0x70100b2a6a40",3898663900942,3898664179178,3898664723323,3898664731621,544145
805,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,806,70325,70325,6144,256,512,0,20,0,32,64,"0x0","0x70100b2a6880",3898663903992,3898664747768,3898664775471,3898664778294,27703
806,"widelaunch_noop_kernel(int*) [clone .kd]",4,1,808,70325,70325,64,64,0,0,4,0,16,64,"0x0","0x70100b2a6780",3898664794210,3898664799619,3898664802434,3898664805716,2815
807,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,810,70325,70325,229376,32,0,0,12,0,16,64,"0x0","0x700f9d5d2b80",3898664798010,3898664813249,3898664838137,3898664841101,24888
808,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,811,70325,70325,229376,32,0,0,12,0,16,64,"0x0","0x700f9d5d2b80",3898664799729,3898664838137,3898664862730,3898664865595,24593
809,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,812,70325,70325,21504,384,32768,1432,128,0,48,64,"0x0","0x70100b2a6a40",3898664802467,3898665085692,3898665626577,3898665635442,540885
810,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,813,70325,70325,6144,256,512,0,20,0,32,64,"0x0","0x70100b2a6880",3898664804515,3898665655022,3898665683318,3898665686305,28296
811,"widelaunch_noop_kernel(int*) [clone .kd]",4,1,815,70325,70325,64,64,0,0,4,0,16,64,"0x0","0x70100b2a6780",3898665695632,3898665701392,3898665703910,3898665706817,2518
812,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,817,70325,70325,229376,32,0,0,12,0,16,64,"0x0","0x700f9d5d2b80",3898665699770,3898665715466,3898665740947,3898665743874,25481
813,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,818,70325,70325,229376,32,0,0,12,0,16,64,"0x0","0x700f9d5d2b80",3898665701244,3898665740947,3898665765540,3898665768395,24593
814,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,819,70325,70325,21504,384,32768,1432,128,0,48,64,"0x0","0x70100b2a6a40",3898665703706,3898665988501,3898666533535,3898666542493,545034
815,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,820,70325,70325,6144,256,512,0,20,0,32,64,"0x0","0x70100b2a6880",3898665705520,3898666557239,3898666587016,3898666589819,29777
