"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
215,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,214,70188,70188,21504,384,32768,1432,128,0,48,64,"0x0","0x76baa4d86a40",3897182166980,3897232642000,3897233189394,3897233264216,547394
216,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,215,70188,70188,6144,256,512,0,20,0,32,64,"0x0","0x76baa4d86880",3897182168734,3897233267762,3897233296650,3897233303872,28888
217,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,216,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897182170552,3897233296650,3897233321390,3897233329360,24740
218,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,217,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897182172099,3897233321390,3897233346279,3897233353513,24889
219,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,218,70188,70188,28416,256,22528,1104,128,0,64,64,"0x0","0x76baa4d869c0",3897182174502,3897233568199,3897234289959,3897234362654,721760
220,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,219,70188,70188,6144,256,512,0,20,0,32,64,"0x0","0x76baa4d86880",3897182176391,3897234289959,3897234311440,3897234373550,21481
221,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,220,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897182178167,3897234311440,3897234334699,3897234375888,23259
222,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,221,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897182180111,3897234334699,3897234357513,3897234378115,22814
223,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,222,70188,70188,21504,384,32768,1432,128,0,48,64,"0x0","0x76baa4d86a40",3897182182562,3897234567878,3897235112753,3897235190024,544875
224,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,223,70188,70188,6144,256,512,0,20,0,32,64,"0x0","0x76baa4d86880",3897182184253,3897235210973,3897235237343,3897235246775,26370
