"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
549,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,548,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172733058631,7172868979072,7172869006628,7172869012184,27556
550,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,549,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172733060242,7172869006628,7172869033590,7172869039148,26962
551,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,550,149960,149960,21504,384,32768,1432,128,0,48,64,"0x0","0x7ddd5e587e80",7172733062478,7172869281440,7172869886028,7172869904314,604588
552,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,551,149960,149960,6144,256,512,0,20,0,32,64,"0x0","0x7ddd5e587cc0",7172733064141,7172869912102,7172869943954,7172869949791,31852
553,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,552,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172733065936,7172869943954,7172869971954,7172869978142,28000
554,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,553,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172733067679,7172869971954,7172869999213,7172870004558,27259
555,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,554,149960,149960,28416,256,22528,1104,128,0,64,64,"0x0","0x7ddd5e587e00",7172733070062,7172870247063,7172871027946,7172871045959,780883
556,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,555,149960,149960,6144,256,512,0,20,0,32,64,"0x0","0x7ddd5e587cc0",7172733071860,7172871027946,7172871049723,7172871055840,21777
557,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,556,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172733073702,7172871049723,7172871074464,7172871080356,24741
558,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,557,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172733075302,7172871074464,7172871099056,7172871104969,24592
559,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,558,149960,149960,21504,384,32768,1432,128,0,48,64,"0x0","0x7ddd5e587e80",7172733077573,7172871322314,7172871868828,7172871885909,546514
