"Kind","Direction","Source_Agent_Id","Destination_Agent_Id","Correlation_Id","Start_Timestamp","End_Timestamp"
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,25906401932673,25906421920411
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,25906425183804,25906445090069
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,25906448180626,25906468101853
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,25906470913458,25906490848314
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,25906494345103,25906514252125
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,25906517332611,25906537230449
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,25906540093165,25906559981966
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,25906563206104,25906583094452
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,25906583513252,25906584804614
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1268,25906584938091,25906584943573
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1269,25906584954239,25906584957794
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1270,25906584966831,25906584970386
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1271,25906584979571,25906584982979
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1272,25906584991275,25906584994830
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1273,25906585003422,25906585007274
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1274,25906585017496,25906585020903
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1275,25906585029347,25906585032755
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1276,25906585041347,25906585045199
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1277,25906585053346,25906585056754
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1278,25906585065198,25906585068605
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1279,25906585077198,25906585081049
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1280,25906585089345,25906585092753
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1281,25906585101345,25906585104752
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1282,25906585113344,25906585117048
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1283,25906585170083,25906585246969
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1284,25906585303412,25906585380594
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1285,25906595286326,25906597051450
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1286,25906597207592,25906597211740
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1287,25906597221073,25906597224481
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1288,25906599986163,25906600647029
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1289,25906600774580,25906600778728
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1290,25906600788357,25906600793394
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1291,25906618221828,25906622041696
