14:55:46 card0=300MhzMHz,43000mC card2=300MhzMHz,41000mC card3=1350MhzMHz,40000mC card4=1350MhzMHz,42000mC
14:55:48 card0=775MhzMHz,46000mC card2=775MhzMHz,43000mC card3=775MhzMHz,42000mC card4=991MhzMHz,44000mC
14:55:50 card0=1350MhzMHz,48000mC card2=1138MhzMHz,45000mC card3=991MhzMHz,44000mC card4=1269MhzMHz,46000mC
14:55:52 card0=1138MhzMHz,49000mC card2=1269MhzMHz,46000mC card3=1269MhzMHz,46000mC card4=991MhzMHz,47000mC
14:55:54 card0=1138MhzMHz,51000mC card2=1350MhzMHz,48000mC card3=991MhzMHz,47000mC card4=991MhzMHz,48000mC
14:55:56 card0=991MhzMHz,53000mC card2=775MhzMHz,49000mC card3=1138MhzMHz,48000mC card4=991MhzMHz,49000mC
14:55:58 card0=991MhzMHz,55000mC card2=991MhzMHz,51000mC card3=1138MhzMHz,50000mC card4=1269MhzMHz,50000mC
14:56:00 card0=1500MhzMHz,56000mC card2=1500MhzMHz,51000mC card3=1269MhzMHz,52000mC card4=775MhzMHz,51000mC
14:56:02 card0=1500MhzMHz,57000mC card2=775MhzMHz,52000mC card3=1138MhzMHz,53000mC card4=1350MhzMHz,52000mC
14:56:04 card0=775MhzMHz,59000mC card2=775MhzMHz,53000mC card3=991MhzMHz,54000mC card4=991MhzMHz,53000mC
14:56:06 card0=991MhzMHz,60000mC card2=775MhzMHz,54000mC card3=775MhzMHz,55000mC card4=775MhzMHz,54000mC
14:56:08 card0=775MhzMHz,61000mC card2=775MhzMHz,55000mC card3=991MhzMHz,56000mC card4=991MhzMHz,55000mC
14:56:10 card0=775MhzMHz,62000mC card2=1138MhzMHz,56000mC card3=1138MhzMHz,58000mC card4=775MhzMHz,57000mC
14:56:12 card0=775MhzMHz,63000mC card2=991MhzMHz,57000mC card3=775MhzMHz,58000mC card4=775MhzMHz,57000mC
14:56:14 card0=1138MhzMHz,65000mC card2=1269MhzMHz,58000mC card3=775MhzMHz,60000mC card4=991MhzMHz,58000mC
14:56:17 card0=1269MhzMHz,66000mC card2=1350MhzMHz,59000mC card3=1269MhzMHz,61000mC card4=1269MhzMHz,59000mC
14:56:19 card0=1138MhzMHz,67000mC card2=775MhzMHz,60000mC card3=991MhzMHz,61000mC card4=991MhzMHz,60000mC
14:56:21 card0=991MhzMHz,68000mC card2=1350MhzMHz,61000mC card3=991MhzMHz,62000mC card4=991MhzMHz,61000mC
14:56:23 card0=1269MhzMHz,70000mC card2=991MhzMHz,61000mC card3=991MhzMHz,63000mC card4=1269MhzMHz,62000mC
14:56:25 card0=1138MhzMHz,71000mC card2=775MhzMHz,62000mC card3=1350MhzMHz,64000mC card4=1500MhzMHz,63000mC
14:56:27 card0=1269MhzMHz,72000mC card2=1500MhzMHz,63000mC card3=1500MhzMHz,65000mC card4=1269MhzMHz,64000mC
14:56:29 card0=1350MhzMHz,73000mC card2=775MhzMHz,65000mC card3=775MhzMHz,67000mC card4=775MhzMHz,64000mC
14:56:31 card0=775MhzMHz,74000mC card2=775MhzMHz,65000mC card3=1350MhzMHz,67000mC card4=775MhzMHz,65000mC
14:56:33 card0=1500MhzMHz,76000mC card2=1500MhzMHz,66000mC card3=1350MhzMHz,68000mC card4=991MhzMHz,66000mC
14:56:35 card0=1350MhzMHz,79000mC card2=1350MhzMHz,68000mC card3=1500MhzMHz,70000mC card4=1269MhzMHz,68000mC
14:56:37 card0=1269MhzMHz,80000mC card2=1269MhzMHz,68000mC card3=1500MhzMHz,71000mC card4=1500MhzMHz,69000mC
