"Kind","Direction","Source_Agent_Id","Destination_Agent_Id","Correlation_Id","Start_Timestamp","End_Timestamp"
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,40709120853923,40709140772463
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,40709144116640,40709164013847
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,40709167012221,40709187114620
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,40709189912570,40709209947264
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,40709213629075,40709233682288
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,40709236724876,40709256688169
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,40709259489823,40709279413263
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,40709282616255,40709302596585
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1267,40709303001182,40709304292897
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1268,40709304415120,40709304420602
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1269,40709304433195,40709304436602
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1270,40709304446972,40709304450380
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1271,40709304460898,40709304464306
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1272,40709304474084,40709304477639
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1273,40709304487565,40709304491417
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1274,40709304502677,40709304506232
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1275,40709304516010,40709304519566
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1276,40709304529492,40709304533195
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1277,40709304543418,40709304546973
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1278,40709304556603,40709304560159
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1279,40709304569937,40709304573196
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1280,40709304582974,40709304586381
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1281,40709304596752,40709304600159
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1282,40709304610085,40709304613789
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1283,40709304672012,40709304749049
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1284,40709304808457,40709304885347
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1285,40709314887512,40709316656121
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1286,40709316744121,40709316748269
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1287,40709316759381,40709316762936
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1288,40709319587749,40709320262570
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1289,40709320357384,40709320361829
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1290,40709320375014,40709320379903
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1291,40709338595035,40709342331366
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1292,40709342431071,40709342435367
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1293,40709350347737,40709352229236
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1294,40709352342422,40709352346719
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1295,40709352359608,40709352364497
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1296,40709352375163,40709352378719
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1297,40709352388941,40709352392497
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1298,40709352402719,40709352406127
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1299,40709352416201,40709352419608
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1300,40709352429386,40709352433238
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1301,40709352443016,40709352446423
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1302,40709352456201,40709352459609
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1303,40709352470127,40709352473831
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1304,40709352484053,40709352487461
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1305,40709352499609,40709352503165
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1306,40709352513387,40709352517091
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1307,40709352527461,40709352530868
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1308,40709352540646,40709352544054
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1309,40709352554276,40709352558128
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1310,40709352619314,40709352696203
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1311,40709352759315,40709352836205
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1312,40709359525304,40709361286654
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1313,40709361385766,40709361390062
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1314,40709361401173,40709361404581
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1315,40709364106976,40709364771723
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1316,40709364917354,40709364921502
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1317,40709364933799,40709364938687
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1318,40709379164309,40709382975753
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1319,40709383110419,40709383114716
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1320,40709390938642,40709392882216
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1321,40709393037032,40709393041328
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1322,40709393051402,40709393056291
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1323,40709393064736,40709393068291
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1324,40709393101773,40709393105329
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1325,40709393114810,40709393118366
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1326,40709393130959,40709393134514
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1327,40709393142959,40709393146811
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1328,40709393155255,40709393158811
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1329,40709393166959,40709393170515
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1330,40709393179107,40709393182959
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1331,40709393191256,40709393194663
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1332,40709393202811,40709393206367
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1333,40709393215108,40709393218515
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1334,40709393226960,40709393230515
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1335,40709393238663,40709393242219
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1336,40709393252293,40709393255997
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1337,40709393313627,40709393393628
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1338,40709393490518,40709393567407
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1339,40709400276063,40709402038302
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1340,40709402119044,40709402123636
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1341,40709402132525,40709402135933
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1342,40709404855810,40709405545002
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1343,40709405683818,40709405687966
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1344,40709405697892,40709405702781
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1345,40709419733284,40709423543691
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1346,40709423691248,40709423695692
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1347,40709431827473,40709433695046
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1348,40709433843640,40709433847788
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1349,40709433858455,40709433866752
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1350,40709564205125,40709567107672
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1351,40709567211969,40709567215969
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1352,40709567225895,40709567229302
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1353,40709623943053,40709625188843
"MEMORY_COPY","HOST_TO_DEVICE",0,1,1354,40709625276844,40709625282325
